"Landcover","Tau","Coefficient","Value","Std.Error","CI_Lower","CI_Upper","P"
"mineral",0.9,"BUI.mean",0.000486571223403817,6.78461516189827e-05,0.000350229277175794,0.000622913169631841,3.59740603048164e-09
"mineral",0.9,"ISI.mean",-0.000135395383257103,0.000228691832712425,-0.000594968827209695,0.000324178060695488,0.556543917461822
"open_bog",0.5,"(Intercept)",0.0241321107005462,0.0248123761072766,-0.025730225898974,0.0739944473000664,0.335537165587515
"open_bog",0.5,"BUI.mean",-0.000305740700458535,0.000128590647092314,-0.000564153280581674,-4.73281203353962e-05,0.0213708489571503
"open_bog",0.5,"ISI.mean",0.00530598780311941,0.00118548024080659,0.00292367606708847,0.00768829953915034,4.54322230983615e-05
"open_bog",0.9,"(Intercept)",0.0247784829386077,0.0553394991565709,-0.0864304042015717,0.135987370078787,0.656304106548178
"open_bog",0.9,"BUI.mean",0.000465545552915973,0.000123922979281488,0.000216513002440614,0.000714578103391332,0.000458079855680938
"open_bog",0.9,"ISI.mean",0.00985385426696992,0.00133747883279868,0.00716608992439316,0.0125416186095467,1.79206326795546e-09
"open_permafrost",0.5,"(Intercept)",0.00605401511220028,0.00819461324518971,-0.0104136767431842,0.0225217069675848,0.463564910272857
"open_permafrost",0.5,"BUI.mean",-0.000105109365367159,6.72717505918042e-05,-0.000240297009514783,3.00782787804651e-05,0.12461594389642
"open_permafrost",0.5,"ISI.mean",0.00174960589016373,0.000505743176457764,0.000733276926407123,0.00276593485392033,0.00113015878899809
"open_permafrost",0.9,"(Intercept)",0.00612001912018694,0.0090763653779965,-0.012119619986572,0.0243596582269459,0.503301643590798
"open_permafrost",0.9,"BUI.mean",0.000347039547317933,7.82777428475643e-05,0.000189734533673097,0.000504344560962769,5.2278563957755e-05
"open_permafrost",0.9,"ISI.mean",0.00204992816625784,0.000587784571709677,0.000868730846183453,0.00323112548633222,0.00103933582094047
"open_poor_fen",0.5,"(Intercept)",-0.0168230733755985,0.0449430186484956,-0.107139450733453,0.0734933039822559,0.7097812487067
"open_poor_fen",0.5,"BUI.mean",3.88754808283492e-05,0.000514682147893906,-0.000995417018571733,0.00107316798022843,0.940098197907963
"open_poor_fen",0.5,"ISI.mean",0.00802384860074313,0.00454024903297084,-0.00110012342631505,0.0171478206278013,0.0834101935920762
"open_poor_fen",0.9,"(Intercept)",-0.0168076723026628,0.0635448278137664,-0.144505784724849,0.110890440119524,0.792503281202468
"open_poor_fen",0.9,"BUI.mean",0.000384649123226304,0.000587684684709744,-0.000796347466406503,0.00156564571285911,0.515839908761985
"open_poor_fen",0.9,"ISI.mean",0.00814775472203276,0.0060308886193561,-0.0039717697053098,0.0202672791493753,0.182899778771426
"open_rich_fen",0.5,"(Intercept)",0.0116721412435412,0.00624707036615712,-0.000881816668892059,0.0242260991559744,0.0676885294148918
"open_rich_fen",0.5,"BUI.mean",-0.000108902018752749,4.26068040537052e-05,-0.000194523597112293,-2.32804403932058e-05,0.0137410341635145
"open_rich_fen",0.5,"ISI.mean",0.00055204799954223,0.000497241910471206,-0.00044719703060354,0.001551293029688,0.272322819665067
"open_rich_fen",0.9,"(Intercept)",0.0121215476609152,0.00771636762175785,-0.0033850736323552,0.0276281689541856,0.122644400161309
"open_rich_fen",0.9,"BUI.mean",0.000256029405552217,5.96198101309407e-05,0.000136218911470731,0.000375839899633702,8.25929959400888e-05
"open_rich_fen",0.9,"ISI.mean",0.00238207408537239,0.000525890932532722,0.00132525668992382,0.00343889148082095,3.79933599261245e-05
"total_bog",0.5,"(Intercept)",0.0230370574782599,0.00811901097921782,0.00672129406444339,0.0393528208920765,0.00659751627353897
"total_bog",0.5,"BUI.mean",2.57719448312571e-05,0.000120310035454813,-0.000216000123196876,0.00026754401285939,0.831270092350615
"total_bog",0.5,"ISI.mean",0.00207404480076291,0.000467233895327995,0.00113510313476434,0.00301298646676148,5.13279580080952e-05
